Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
BubbleSort,Serial,1000,random,0,1,1,1,3,645700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,random,0,1,1,2,0,937300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,random,0,1,1,3,1,452500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,random,0,1,1,4,1,395400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,random,0,1,1,5,0,670200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,1,2,2,1,12,573000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,1,2,2,2,3,656800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,1,2,2,3,1,049100,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,1,2,2,4,1,011700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,1,2,2,5,1,047900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,2,4,4,1,1,102300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,2,4,4,2,0,871600,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,2,4,4,3,0,760100,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,2,4,4,4,0,839200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,2,4,4,5,1,160400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,3,8,8,1,1,854500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,3,8,8,2,1,317300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,3,8,8,3,1,284000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,3,8,8,4,4,183500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,random,3,8,8,5,0,965000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,sorted,0,1,1,1,0,005700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,sorted,0,1,1,2,0,002400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,sorted,0,1,1,3,0,002000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,sorted,0,1,1,4,0,001400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,sorted,0,1,1,5,0,001400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,1,2,2,1,0,998700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,1,2,2,2,0,639900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,1,2,2,3,0,613300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,1,2,2,4,0,751400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,1,2,2,5,0,645400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,2,4,4,1,0,794900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,2,4,4,2,0,659500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,2,4,4,3,0,813200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,2,4,4,4,0,878500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,2,4,4,5,0,734300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,3,8,8,1,1,088000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,3,8,8,2,1,523300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,3,8,8,3,1,906200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,3,8,8,4,1,602200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,sorted,3,8,8,5,1,049800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,reversed,0,1,1,1,0,715900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,reversed,0,1,1,2,0,699400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,reversed,0,1,1,3,0,725300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,reversed,0,1,1,4,0,737700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,reversed,0,1,1,5,0,656500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,1,2,2,1,0,887900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,1,2,2,2,0,885500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,1,2,2,3,0,709400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,1,2,2,4,0,964400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,1,2,2,5,0,772300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,2,4,4,1,0,790200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,2,4,4,2,1,041100,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,2,4,4,3,0,853300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,2,4,4,4,0,710100,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,2,4,4,5,0,688700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,3,8,8,1,0,994800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,3,8,8,2,1,120900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,3,8,8,3,1,018400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,3,8,8,4,0,828300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,reversed,3,8,8,5,1,048400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,duplicates,0,1,1,1,0,527300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,duplicates,0,1,1,2,0,438500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,duplicates,0,1,1,3,0,391100,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,duplicates,0,1,1,4,0,472500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,1000,duplicates,0,1,1,5,0,474400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,1,2,2,1,1,154500,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,1,2,2,2,0,802000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,1,2,2,3,0,682700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,1,2,2,4,0,692600,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,1,2,2,5,0,801900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,2,4,4,1,0,656200,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,2,4,4,2,0,688700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,2,4,4,3,0,679700,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,2,4,4,4,1,073900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,2,4,4,5,1,938800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,3,8,8,1,1,372600,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,3,8,8,2,1,778400,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,3,8,8,3,2,246600,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,3,8,8,4,1,499800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Paralela,1000,duplicates,3,8,8,5,1,398300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,5000,random,0,1,1,1,12,404900,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,5000,random,0,1,1,2,11,941800,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,5000,random,0,1,1,3,11,650000,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,5000,random,0,1,1,4,11,627300,16,Mon Nov 03 16:38:33 GMT-03:00 2025
BubbleSort,Serial,5000,random,0,1,1,5,11,645800,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,1,2,2,1,4,652100,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,1,2,2,2,5,015200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,1,2,2,3,4,009100,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,1,2,2,4,6,214800,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,1,2,2,5,4,832500,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,2,4,4,1,2,153500,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,2,4,4,2,2,821700,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,2,4,4,3,2,346800,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,2,4,4,4,2,398200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,2,4,4,5,4,768700,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,3,8,8,1,1,568900,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,3,8,8,2,2,533900,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,3,8,8,3,2,258300,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,3,8,8,4,1,778200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,random,3,8,8,5,1,567300,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Serial,5000,sorted,0,1,1,1,0,025300,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Serial,5000,sorted,0,1,1,2,0,011400,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Serial,5000,sorted,0,1,1,3,0,010900,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Serial,5000,sorted,0,1,1,4,0,011200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Serial,5000,sorted,0,1,1,5,0,019900,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,1,2,2,1,0,634600,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,1,2,2,2,0,740200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,1,2,2,3,0,415800,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,1,2,2,4,0,469500,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,1,2,2,5,0,606700,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,2,4,4,1,0,708900,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,2,4,4,2,0,725000,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,2,4,4,3,0,588400,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,2,4,4,4,0,905100,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,2,4,4,5,0,982600,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,3,8,8,1,2,194200,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,3,8,8,2,2,272400,16,Mon Nov 03 16:38:34 GMT-03:00 2025
BubbleSort,Paralela,5000,sorted,3,8,8,3,1,341100,16,Mon Nov 03 16:38:34 GMT-03:00 2025
