Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
BubbleSort,Serial,1000,random,0,1,1,1,37.6182,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,random,0,1,1,2,37.7539,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,random,0,1,1,3,37.6753,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,random,0,1,1,4,37.6972,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,random,0,1,1,5,37.7684,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,1,2,2,1,20.6503,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,1,2,2,2,18.9611,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,1,2,2,3,19.6208,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,1,2,2,4,20.5418,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,1,2,2,5,20.1337,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,2,4,4,1,11.6889,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,2,4,4,2,11.1582,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,2,4,4,3,10.6098,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,2,4,4,4,10.1872,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,2,4,4,5,10.4945,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,3,8,8,1,9.1268,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,3,8,8,2,7.6803,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,3,8,8,3,7.5541,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,3,8,8,4,7.2042,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,random,3,8,8,5,7.607,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,sorted,0,1,1,1,0.0579,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,sorted,0,1,1,2,0.0569,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,sorted,0,1,1,3,0.0574,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,sorted,0,1,1,4,0.057,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,sorted,0,1,1,5,0.0569,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,1,2,2,1,1.2732,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,1,2,2,2,1.1391,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,1,2,2,3,1.1915,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,1,2,2,4,0.6245,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,1,2,2,5,0.8099,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,2,4,4,1,1.1602,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,2,4,4,2,1.0514,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,2,4,4,3,1.0549,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,2,4,4,4,1.9797,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,2,4,4,5,1.4893,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,3,8,8,1,1.8511,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,3,8,8,2,1.8947,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,3,8,8,3,1.6626,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,3,8,8,4,2.1608,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,sorted,3,8,8,5,1.9495,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,reversed,0,1,1,1,60.4995,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,reversed,0,1,1,2,53.7119,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,reversed,0,1,1,3,49.3587,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,reversed,0,1,1,4,49.0137,16,2025-10-26 14:20:48
BubbleSort,Serial,1000,reversed,0,1,1,5,52.4047,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,reversed,1,2,2,1,24.861,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,reversed,1,2,2,2,24.4946,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,reversed,1,2,2,3,23.8542,16,2025-10-26 14:20:48
BubbleSort,Paralela,1000,reversed,1,2,2,4,24.0895,16,2025-10-26 14:20:48
