Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
BubbleSort,Serial,1000,random,0,1,1,1,2.745300,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,random,0,1,1,2,0.601700,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,random,0,1,1,3,1.088801,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,random,0,1,1,4,1.106100,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,random,0,1,1,5,1.110900,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,1,2,2,1,8.245401,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,1,2,2,2,3.507600,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,1,2,2,3,0.570000,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,1,2,2,4,0.543201,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,1,2,2,5,0.651299,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,2,4,4,1,0.823100,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,2,4,4,2,0.473000,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,2,4,4,3,0.489700,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,2,4,4,4,0.411999,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,2,4,4,5,0.463700,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,3,8,8,1,0.808100,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,3,8,8,2,2.325099,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,3,8,8,3,0.748900,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,3,8,8,4,0.727300,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,random,3,8,8,5,0.744300,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,sorted,0,1,1,1,0.002400,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,sorted,0,1,1,2,0.000899,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,sorted,0,1,1,3,0.006701,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,sorted,0,1,1,4,0.001300,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Serial,1000,sorted,0,1,1,5,0.000999,16,Wed Nov 12 08:20:37 BRT 2025
BubbleSort,Paralela,1000,sorted,1,2,2,1,0.419701,16,Wed Nov 12 08:20:37 BRT 2025
