Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
InsertionSort,Serial,1000,random,0,1,1,1,1.421499,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Serial,1000,random,0,1,1,2,0.407501,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Serial,1000,random,0,1,1,3,0.551801,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Serial,1000,random,0,1,1,4,0.542899,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Serial,1000,random,0,1,1,5,0.990999,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,1,2,2,1,7.400501,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,1,2,2,2,1.953499,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,1,2,2,3,0.575300,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,1,2,2,4,0.607300,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,1,2,2,5,0.935000,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,2,4,4,1,1.142799,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,2,4,4,2,0.843701,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,2,4,4,3,0.712599,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,2,4,4,4,0.673700,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,2,4,4,5,0.927401,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,3,8,8,1,1.245001,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,3,8,8,2,3.215000,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,3,8,8,3,0.842800,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,3,8,8,4,0.865600,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Paralela,1000,random,3,8,8,5,0.808500,16,Wed Nov 12 08:20:40 BRT 2025
InsertionSort,Serial,1000,sorted,0,1,1,1,0.003599,16,Wed Nov 12 08:20:40 BRT 2025
