Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Serial,10000,random,0,1,1,1,1.981600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,random,0,1,1,2,1.066499,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,random,0,1,1,3,1.022901,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,random,0,1,1,4,1.029901,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,random,0,1,1,5,1.034600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,1,2,2,1,5.243500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,1,2,2,2,1.152100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,1,2,2,3,0.944400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,1,2,2,4,0.914700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,1,2,2,5,0.866100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,2,4,4,1,3.309100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,2,4,4,2,1.048999,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,2,4,4,3,0.909700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,2,4,4,4,0.967000,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,2,4,4,5,0.837000,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,3,8,8,1,1.670201,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,3,8,8,2,1.384900,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,3,8,8,3,1.336700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,3,8,8,4,1.596801,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,random,3,8,8,5,1.428600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,sorted,0,1,1,1,0.557200,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,sorted,0,1,1,2,0.555701,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,sorted,0,1,1,3,0.518400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,sorted,0,1,1,4,0.816700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,sorted,0,1,1,5,0.754899,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,1,2,2,1,0.715400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,1,2,2,2,0.781299,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,1,2,2,3,0.686299,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,1,2,2,4,0.786801,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,1,2,2,5,0.768300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,2,4,4,1,1.104001,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,2,4,4,2,1.203200,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,2,4,4,3,0.924300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,2,4,4,4,2.245300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,2,4,4,5,0.748400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,3,8,8,1,1.354500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,3,8,8,2,1.499000,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,3,8,8,3,1.183200,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,3,8,8,4,1.273500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,sorted,3,8,8,5,1.318300,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,reversed,0,1,1,1,0.531100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,reversed,0,1,1,2,0.557900,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,reversed,0,1,1,3,0.538400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,reversed,0,1,1,4,0.713100,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,reversed,0,1,1,5,0.542700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,1,2,2,1,0.699501,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,1,2,2,2,0.740801,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,1,2,2,3,0.584701,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,1,2,2,4,0.610900,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,1,2,2,5,0.550400,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,1,1.054500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,2,0.830401,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,3,0.861600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,4,0.765600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,2,4,4,5,1.194700,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,1,1.151600,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,2,1.236000,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,3,1.374799,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,4,1.223500,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Paralela,10000,reversed,3,8,8,5,1.113800,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,1,0.821301,16,Wed Nov 12 08:20:41 BRT 2025
MergeSort,Serial,10000,duplicates,0,1,1,2,0.755401,16,Wed Nov 12 08:20:41 BRT 2025
