Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Serial,10000,random,0,1,1,1,21.794400,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Serial,10000,random,0,1,1,2,7.950800,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Serial,10000,random,0,1,1,3,3.780499,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Serial,10000,random,0,1,1,4,3.792700,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Serial,10000,random,0,1,1,5,4.940800,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Paralela,10000,random,1,2,2,1,16.381600,16,Wed Nov 12 08:20:42 BRT 2025
QuickSort,Paralela,10000,random,1,2,2,2,15.879600,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,1,2,2,3,14.764300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,1,2,2,4,15.227300,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,1,2,2,5,2.944200,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,2,4,4,1,2.284700,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,2,4,4,2,3.723699,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,2,4,4,3,3.070499,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,2,4,4,4,3.127100,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,2,4,4,5,2.486899,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,3,8,8,1,3.952900,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,3,8,8,2,4.411999,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,3,8,8,3,3.454400,16,Wed Nov 12 08:20:43 BRT 2025
QuickSort,Paralela,10000,random,3,8,8,4,3.936900,16,Wed Nov 12 08:20:43 BRT 2025
