Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
InsertionSort,Serial,1000,random,0,1,1,1,1,678300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,random,0,1,1,2,0,305200,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,random,0,1,1,3,0,637900,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,random,0,1,1,4,0,616700,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Serial,1000,random,0,1,1,5,2,141700,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,1,2,2,1,8,753400,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,1,2,2,2,1,738600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,1,2,2,3,1,320300,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,1,2,2,4,1,169600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,1,2,2,5,1,240500,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,2,4,4,1,1,444000,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,2,4,4,2,0,999600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,2,4,4,3,1,018000,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,2,4,4,4,1,057900,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,2,4,4,5,1,019600,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,3,8,8,1,1,601800,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,3,8,8,2,1,488400,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,3,8,8,3,1,545500,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,3,8,8,4,4,999100,16,Mon Nov 03 16:39:07 GMT-03:00 2025
InsertionSort,Paralela,1000,random,3,8,8,5,1,239200,16,Mon Nov 03 16:39:07 GMT-03:00 2025
