Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
InsertionSort,Serial,1000,random,0,1,1,1,18.8967,16,2025-10-26 14:39:48
InsertionSort,Serial,1000,random,0,1,1,2,18.3236,16,2025-10-26 14:39:48
InsertionSort,Serial,1000,random,0,1,1,3,18.7456,16,2025-10-26 14:39:48
InsertionSort,Serial,1000,random,0,1,1,4,18.0073,16,2025-10-26 14:39:48
InsertionSort,Serial,1000,random,0,1,1,5,17.7184,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,1,2,2,1,12.4187,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,1,2,2,2,12.1208,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,1,2,2,3,10.8281,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,1,2,2,4,10.4986,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,1,2,2,5,10.4178,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,2,4,4,1,5.6577,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,2,4,4,2,5.4272,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,2,4,4,3,5.752,16,2025-10-26 14:39:48
InsertionSort,Paralela,1000,random,2,4,4,4,6.4161,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,2,4,4,5,6.143,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,3,8,8,1,5.6071,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,3,8,8,2,5.4366,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,3,8,8,3,4.2107,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,3,8,8,4,3.7214,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,random,3,8,8,5,5.5612,16,2025-10-26 14:39:49
InsertionSort,Serial,1000,sorted,0,1,1,1,0.103,16,2025-10-26 14:39:49
InsertionSort,Serial,1000,sorted,0,1,1,2,0.0985,16,2025-10-26 14:39:49
InsertionSort,Serial,1000,sorted,0,1,1,3,0.1013,16,2025-10-26 14:39:49
InsertionSort,Serial,1000,sorted,0,1,1,4,0.0979,16,2025-10-26 14:39:49
InsertionSort,Serial,1000,sorted,0,1,1,5,0.0961,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,1,2,2,1,1.227,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,1,2,2,2,0.8365,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,1,2,2,3,1.1206,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,1,2,2,4,0.8581,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,1,2,2,5,0.8677,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,2,4,4,1,1.3052,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,2,4,4,2,1.0732,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,2,4,4,3,1.073,16,2025-10-26 14:39:49
InsertionSort,Paralela,1000,sorted,2,4,4,4,1.1532,16,2025-10-26 14:39:49
