Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Serial,10000,random,0,1,1,1,2,954800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,random,0,1,1,2,1,575800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,random,0,1,1,3,1,487700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,random,0,1,1,4,1,733600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,random,0,1,1,5,2,312500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,1,2,2,1,12,725800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,1,2,2,2,2,434900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,1,2,2,3,2,446100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,1,2,2,4,2,103400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,1,2,2,5,2,134200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,2,4,4,1,7,770500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,2,4,4,2,2,495600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,2,4,4,3,1,880900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,2,4,4,4,2,319900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,2,4,4,5,3,487000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,3,8,8,1,3,651000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,3,8,8,2,2,980400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,3,8,8,3,3,020500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,3,8,8,4,4,746600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,10000,random,3,8,8,5,2,881000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,sorted,0,1,1,1,1,002000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,sorted,0,1,1,2,1,293300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,10000,sorted,0,1,1,3,1,286500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
