Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Serial,10000,random,0,1,1,1,14.4698,16,2025-10-22 16:43:20
MergeSort,Serial,10000,random,0,1,1,2,15.1628,16,2025-10-22 16:43:20
MergeSort,Serial,10000,random,0,1,1,3,14.1091,16,2025-10-22 16:43:20
MergeSort,Serial,10000,random,0,1,1,4,13.7705,16,2025-10-22 16:43:20
MergeSort,Serial,10000,random,0,1,1,5,13.1768,16,2025-10-22 16:43:20
MergeSort,Paralela,10000,random,1,2,2,1,15.1389,16,2025-10-22 16:43:20
MergeSort,Paralela,10000,random,1,2,2,2,13.581,16,2025-10-22 16:43:20
MergeSort,Paralela,10000,random,1,2,2,3,14.0561,16,2025-10-22 16:43:20
MergeSort,Paralela,10000,random,1,2,2,4,15.1093,16,2025-10-22 16:43:20
MergeSort,Paralela,10000,random,1,2,2,5,14.5821,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,2,4,4,1,15.6554,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,2,4,4,2,14.9781,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,2,4,4,3,15.103,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,2,4,4,4,14.3012,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,2,4,4,5,14.7862,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,3,8,8,1,17.7212,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,3,8,8,2,21.0395,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,3,8,8,3,17.6646,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,3,8,8,4,17.7369,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,random,3,8,8,5,16.9945,16,2025-10-22 16:43:21
MergeSort,Serial,10000,sorted,0,1,1,1,9.8794,16,2025-10-22 16:43:21
MergeSort,Serial,10000,sorted,0,1,1,2,9.6368,16,2025-10-22 16:43:21
MergeSort,Serial,10000,sorted,0,1,1,3,9.4498,16,2025-10-22 16:43:21
MergeSort,Serial,10000,sorted,0,1,1,4,9.2792,16,2025-10-22 16:43:21
MergeSort,Serial,10000,sorted,0,1,1,5,8.8052,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,1,2,2,1,10.4213,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,1,2,2,2,10.4214,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,1,2,2,3,11.0622,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,1,2,2,4,9.6905,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,1,2,2,5,9.7824,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,2,4,4,1,10.336,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,2,4,4,2,10.0881,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,2,4,4,3,10.2915,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,2,4,4,4,10.9303,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,2,4,4,5,11.0558,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,3,8,8,1,12.0212,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,3,8,8,2,11.4896,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,3,8,8,3,11.4633,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,3,8,8,4,11.6859,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,sorted,3,8,8,5,11.3185,16,2025-10-22 16:43:21
MergeSort,Serial,10000,reversed,0,1,1,1,9.6555,16,2025-10-22 16:43:21
MergeSort,Serial,10000,reversed,0,1,1,2,13.9233,16,2025-10-22 16:43:21
MergeSort,Serial,10000,reversed,0,1,1,3,10.4489,16,2025-10-22 16:43:21
MergeSort,Serial,10000,reversed,0,1,1,4,9.9794,16,2025-10-22 16:43:21
MergeSort,Serial,10000,reversed,0,1,1,5,9.6753,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,1,2,2,1,10.0172,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,1,2,2,2,9.8775,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,1,2,2,3,9.7994,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,1,2,2,4,16.5989,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,1,2,2,5,15.4233,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,2,4,4,1,15.2356,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,2,4,4,2,11.7301,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,2,4,4,3,10.7997,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,2,4,4,4,10.7576,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,2,4,4,5,10.9065,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,3,8,8,1,11.7461,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,3,8,8,2,13.0298,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,3,8,8,3,12.0605,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,3,8,8,4,11.4234,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,reversed,3,8,8,5,11.5016,16,2025-10-22 16:43:21
MergeSort,Serial,10000,duplicates,0,1,1,1,13.1941,16,2025-10-22 16:43:21
MergeSort,Serial,10000,duplicates,0,1,1,2,13.3528,16,2025-10-22 16:43:21
MergeSort,Serial,10000,duplicates,0,1,1,3,13.3232,16,2025-10-22 16:43:21
MergeSort,Serial,10000,duplicates,0,1,1,4,14.2305,16,2025-10-22 16:43:21
MergeSort,Serial,10000,duplicates,0,1,1,5,13.5614,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,1,2,2,1,12.312,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,1,2,2,2,12.1345,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,1,2,2,3,11.9174,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,1,2,2,4,15.274,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,1,2,2,5,12.5944,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,2,4,4,1,13.8946,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,2,4,4,2,14.4081,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,2,4,4,3,13.5633,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,2,4,4,4,12.9503,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,2,4,4,5,13.0716,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,3,8,8,1,15.6148,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,3,8,8,2,16.1769,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,3,8,8,3,15.271,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,3,8,8,4,16.4905,16,2025-10-22 16:43:21
MergeSort,Paralela,10000,duplicates,3,8,8,5,15.621,16,2025-10-22 16:43:21
MergeSort,Serial,50000,random,0,1,1,1,85.8348,16,2025-10-22 16:43:22
MergeSort,Serial,50000,random,0,1,1,2,81.1546,16,2025-10-22 16:43:22
MergeSort,Serial,50000,random,0,1,1,3,85.1115,16,2025-10-22 16:43:22
MergeSort,Serial,50000,random,0,1,1,4,81.9185,16,2025-10-22 16:43:22
MergeSort,Serial,50000,random,0,1,1,5,81.7129,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,1,2,2,1,80.4323,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,1,2,2,2,82.3918,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,1,2,2,3,80.1012,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,1,2,2,4,81.7822,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,1,2,2,5,82.2628,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,2,4,4,1,84.1264,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,2,4,4,2,82.2111,16,2025-10-22 16:43:22
MergeSort,Paralela,50000,random,2,4,4,3,80.5915,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,2,4,4,4,82.2497,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,2,4,4,5,82.35,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,3,8,8,1,80.4477,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,3,8,8,2,82.5435,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,3,8,8,3,81.6542,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,3,8,8,4,82.6408,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,random,3,8,8,5,79.0928,16,2025-10-22 16:43:23
MergeSort,Serial,50000,sorted,0,1,1,1,50.4832,16,2025-10-22 16:43:23
MergeSort,Serial,50000,sorted,0,1,1,2,49.901,16,2025-10-22 16:43:23
MergeSort,Serial,50000,sorted,0,1,1,3,49.5094,16,2025-10-22 16:43:23
MergeSort,Serial,50000,sorted,0,1,1,4,50.0695,16,2025-10-22 16:43:23
MergeSort,Serial,50000,sorted,0,1,1,5,50.3028,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,sorted,1,2,2,1,48.5755,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,sorted,1,2,2,2,47.521,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,sorted,1,2,2,3,49.5184,16,2025-10-22 16:43:23
MergeSort,Paralela,50000,sorted,1,2,2,4,48.1073,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,1,2,2,5,47.6067,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,2,4,4,1,49.2709,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,2,4,4,2,50.6394,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,2,4,4,3,51.4055,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,2,4,4,4,47.565,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,2,4,4,5,50.3161,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,3,8,8,1,52.2612,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,3,8,8,2,49.3557,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,3,8,8,3,50.6388,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,3,8,8,4,49.4885,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,sorted,3,8,8,5,50.3795,16,2025-10-22 16:43:24
MergeSort,Serial,50000,reversed,0,1,1,1,52.9482,16,2025-10-22 16:43:24
MergeSort,Serial,50000,reversed,0,1,1,2,53.078,16,2025-10-22 16:43:24
MergeSort,Serial,50000,reversed,0,1,1,3,64.3288,16,2025-10-22 16:43:24
MergeSort,Serial,50000,reversed,0,1,1,4,54.4028,16,2025-10-22 16:43:24
MergeSort,Serial,50000,reversed,0,1,1,5,54.9267,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,reversed,1,2,2,1,50.5847,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,reversed,1,2,2,2,49.3875,16,2025-10-22 16:43:24
MergeSort,Paralela,50000,reversed,1,2,2,3,48.2708,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,1,2,2,4,50.0104,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,1,2,2,5,49.131,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,2,4,4,1,51.4326,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,2,4,4,2,52.6353,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,2,4,4,3,52.2889,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,2,4,4,4,53.157,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,2,4,4,5,53.3115,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,3,8,8,1,53.6612,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,3,8,8,2,51.5644,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,3,8,8,3,52.2484,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,3,8,8,4,54.9408,16,2025-10-22 16:43:25
MergeSort,Paralela,50000,reversed,3,8,8,5,55.1377,16,2025-10-22 16:43:25
MergeSort,Serial,50000,duplicates,0,1,1,1,74.1076,16,2025-10-22 16:43:25
MergeSort,Serial,50000,duplicates,0,1,1,2,73.8957,16,2025-10-22 16:43:25
MergeSort,Serial,50000,duplicates,0,1,1,3,72.6137,16,2025-10-22 16:43:25
MergeSort,Serial,50000,duplicates,0,1,1,4,73.8717,16,2025-10-22 16:43:25
MergeSort,Serial,50000,duplicates,0,1,1,5,68.9075,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,1,2,2,1,66.1438,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,1,2,2,2,69.63,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,1,2,2,3,68.3893,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,1,2,2,4,67.7437,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,1,2,2,5,66.5757,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,2,4,4,1,68.6852,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,2,4,4,2,67.6122,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,2,4,4,3,68.9883,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,2,4,4,4,71.1284,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,2,4,4,5,68.3421,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,3,8,8,1,72.7113,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,3,8,8,2,72.2605,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,3,8,8,3,72.2966,16,2025-10-22 16:43:26
MergeSort,Paralela,50000,duplicates,3,8,8,4,73.1089,16,2025-10-22 16:43:27
MergeSort,Paralela,50000,duplicates,3,8,8,5,83.806,16,2025-10-22 16:43:27
MergeSort,Serial,100000,random,0,1,1,1,187.2255,16,2025-10-22 16:43:27
MergeSort,Serial,100000,random,0,1,1,2,179.3111,16,2025-10-22 16:43:27
MergeSort,Serial,100000,random,0,1,1,3,175.221,16,2025-10-22 16:43:27
MergeSort,Serial,100000,random,0,1,1,4,179.8861,16,2025-10-22 16:43:27
MergeSort,Serial,100000,random,0,1,1,5,183.2044,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,1,2,2,1,193.5555,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,1,2,2,2,196.3627,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,1,2,2,3,180.5067,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,1,2,2,4,174.4489,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,1,2,2,5,172.8398,16,2025-10-22 16:43:28
MergeSort,Paralela,100000,random,2,4,4,1,173.8606,16,2025-10-22 16:43:29
MergeSort,Paralela,100000,random,2,4,4,2,172.5597,16,2025-10-22 16:43:29
MergeSort,Paralela,100000,random,2,4,4,3,176.9957,16,2025-10-22 16:43:29
MergeSort,Paralela,100000,random,2,4,4,4,175.2889,16,2025-10-22 16:43:29
