Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Serial,10000,random,0,1,1,1,38,363500,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Serial,10000,random,0,1,1,2,31,226700,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Serial,10000,random,0,1,1,3,13,449100,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Serial,10000,random,0,1,1,4,12,427500,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Serial,10000,random,0,1,1,5,12,954500,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,1,2,2,1,42,325800,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,1,2,2,2,13,883200,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,1,2,2,3,27,600400,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,1,2,2,4,28,327800,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,1,2,2,5,31,914100,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,2,4,4,1,35,836800,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,2,4,4,2,42,921300,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,2,4,4,3,44,418800,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,2,4,4,4,24,122600,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,2,4,4,5,44,725300,16,Mon Nov 03 16:19:21 GMT-03:00 2025
QuickSort,Paralela,10000,random,3,8,8,1,41,714700,16,Mon Nov 03 16:19:21 GMT-03:00 2025
