Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Serial,10000,random,0,1,1,1,12.865,16,2025-10-22 16:18:53
QuickSort,Serial,10000,random,0,1,1,2,14.5318,16,2025-10-22 16:18:53
QuickSort,Serial,10000,random,0,1,1,3,13.5668,16,2025-10-22 16:18:53
QuickSort,Serial,10000,random,0,1,1,4,14.867,16,2025-10-22 16:18:53
QuickSort,Serial,10000,random,0,1,1,5,13.6768,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,1,2,2,1,16.4593,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,1,2,2,2,18.6249,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,1,2,2,3,15.4382,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,1,2,2,4,18.4618,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,1,2,2,5,17.0719,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,2,4,4,1,22.2584,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,2,4,4,2,26.0852,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,2,4,4,3,22.5481,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,2,4,4,4,20.7807,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,2,4,4,5,16.4537,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,3,8,8,1,17.7217,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,3,8,8,2,18.8231,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,3,8,8,3,18.7297,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,3,8,8,4,17.5239,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,random,3,8,8,5,18.0975,16,2025-10-22 16:18:53
QuickSort,Serial,10000,sorted,0,1,1,1,10.0735,16,2025-10-22 16:18:53
QuickSort,Serial,10000,sorted,0,1,1,2,10.5348,16,2025-10-22 16:18:53
QuickSort,Serial,10000,sorted,0,1,1,3,9.9204,16,2025-10-22 16:18:53
QuickSort,Serial,10000,sorted,0,1,1,4,9.7169,16,2025-10-22 16:18:53
QuickSort,Serial,10000,sorted,0,1,1,5,10.1332,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,1,2,2,1,11.2913,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,1,2,2,2,9.9408,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,1,2,2,3,9.1801,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,1,2,2,4,8.6441,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,1,2,2,5,9.1614,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,2,4,4,1,10.0564,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,2,4,4,2,10.5191,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,2,4,4,3,10.5355,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,2,4,4,4,12.2866,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,2,4,4,5,9.6702,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,3,8,8,1,10.8597,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,3,8,8,2,12.2147,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,3,8,8,3,12.7648,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,3,8,8,4,11.0631,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,sorted,3,8,8,5,12.5822,16,2025-10-22 16:18:53
QuickSort,Serial,10000,reversed,0,1,1,1,9.2498,16,2025-10-22 16:18:53
QuickSort,Serial,10000,reversed,0,1,1,2,10.6862,16,2025-10-22 16:18:53
QuickSort,Serial,10000,reversed,0,1,1,3,12.4476,16,2025-10-22 16:18:53
QuickSort,Serial,10000,reversed,0,1,1,4,9.4415,16,2025-10-22 16:18:53
QuickSort,Serial,10000,reversed,0,1,1,5,9.6592,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,reversed,1,2,2,1,10.4039,16,2025-10-22 16:18:53
QuickSort,Paralela,10000,reversed,1,2,2,2,9.4172,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,1,2,2,3,9.8297,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,1,2,2,4,14.8585,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,1,2,2,5,12.8642,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,2,4,4,1,11.1298,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,2,4,4,2,16.9716,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,2,4,4,3,14.2669,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,2,4,4,4,12.726,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,2,4,4,5,11.7975,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,3,8,8,1,14.2951,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,3,8,8,2,13.2403,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,3,8,8,3,17.7297,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,3,8,8,4,15.7264,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,reversed,3,8,8,5,12.3915,16,2025-10-22 16:18:54
QuickSort,Serial,10000,duplicates,0,1,1,1,1.5911,16,2025-10-22 16:18:54
QuickSort,Serial,10000,duplicates,0,1,1,2,1.422,16,2025-10-22 16:18:54
QuickSort,Serial,10000,duplicates,0,1,1,3,1.6415,16,2025-10-22 16:18:54
QuickSort,Serial,10000,duplicates,0,1,1,4,1.5304,16,2025-10-22 16:18:54
QuickSort,Serial,10000,duplicates,0,1,1,5,1.5542,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,1,2,2,1,2.1815,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,1,2,2,2,1.8238,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,1,2,2,3,1.593,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,1,2,2,4,2.1216,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,1,2,2,5,2.2129,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,2,4,4,1,2.4012,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,2,4,4,2,2.8268,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,2,4,4,3,2.4482,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,2,4,4,4,3.5774,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,2,4,4,5,3.3286,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,3,8,8,1,3.4092,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,3,8,8,2,3.4726,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,3,8,8,3,3.3308,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,3,8,8,4,3.3314,16,2025-10-22 16:18:54
QuickSort,Paralela,10000,duplicates,3,8,8,5,3.3873,16,2025-10-22 16:18:54
QuickSort,Serial,50000,random,0,1,1,1,87.365,16,2025-10-22 16:18:54
QuickSort,Serial,50000,random,0,1,1,2,101.7158,16,2025-10-22 16:18:54
QuickSort,Serial,50000,random,0,1,1,3,80.199,16,2025-10-22 16:18:54
QuickSort,Serial,50000,random,0,1,1,4,90.4927,16,2025-10-22 16:18:54
QuickSort,Serial,50000,random,0,1,1,5,86.9701,16,2025-10-22 16:18:54
QuickSort,Paralela,50000,random,1,2,2,1,88.192,16,2025-10-22 16:18:54
QuickSort,Paralela,50000,random,1,2,2,2,83.437,16,2025-10-22 16:18:54
QuickSort,Paralela,50000,random,1,2,2,3,86.102,16,2025-10-22 16:18:54
QuickSort,Paralela,50000,random,1,2,2,4,82.9827,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,1,2,2,5,93.0452,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,2,4,4,1,78.3711,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,2,4,4,2,77.3264,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,2,4,4,3,74.7262,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,2,4,4,4,80.8153,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,2,4,4,5,82.9123,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,3,8,8,1,97.7355,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,3,8,8,2,85.1066,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,3,8,8,3,84.4776,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,3,8,8,4,82.6473,16,2025-10-22 16:18:55
QuickSort,Paralela,50000,random,3,8,8,5,84.0565,16,2025-10-22 16:18:55
QuickSort,Serial,50000,sorted,0,1,1,1,51.5169,16,2025-10-22 16:18:56
QuickSort,Serial,50000,sorted,0,1,1,2,59.6553,16,2025-10-22 16:18:56
QuickSort,Serial,50000,sorted,0,1,1,3,52.924,16,2025-10-22 16:18:56
QuickSort,Serial,50000,sorted,0,1,1,4,53.3091,16,2025-10-22 16:18:56
